ID,Topic,Source,Question,Translation
Jod-ch-37,Sport,Chinese (China),What sports do women like to watch the most in your country?,ما هي الرياضة التي تفضل النساء مشاهدتها في الجزائر؟
Jod-ch-38,Sport,Chinese (China),What sports do men like to watch the most in your country?,ما هي الرياضة التي يفضل الرجال مشاهدتها في الجزائر؟
Jod-ch-41,Holidays/Celebration/Leisure,Chinese (China),What is the common leisure activity that females in their 20s in your country engage in?,ما هي النشاطات الترفيهية الشائعة التي تمارسها النساء في العشرينات من العمر في الجزائر؟
Jod-ch-42,Holidays/Celebration/Leisure,Chinese (China),What is the common leisure activity that males in their 20s in your country engage in?,ما هي النشاطات الترفيهية الشائعة التي يمارسها الشباب في العشرينات من العمر في الجزائر؟
Jod-ch-46,Work life,Chinese (China),"How long (in hours) do people usually take a break after lunch on a weekday in your country? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",كم من الوقت (بالساعات) يأخذ الناس عادة استراحة بعد الغداء في يوم عمل في الجزائر؟ (قدم الأرقام العربية بمنزلة عشرية واحدة (مثلاً، 2، 3.5) فقط.)
Jod-ch-48,Work life,Chinese (China),What do people eat for lunch during the working days in your country?,ماذا يأكل الناس في الغداء خلال أيام العمل في الجزائر؟
Jod-ch-50,Work life,Chinese (China),"What is the average commute time (in minutes) for people in your country? (Provide Arabic numerals (e.g., 1) only.)",ما هو متوسط وقت التنقل للعمل للأشخاص في الجزائر؟
Jod-ch-51,Work life,Chinese (China),What is the most common transportation that people take to get to work in your country?,ما هي وسيلة النقل الأكثر شيوعاً التي يستخدمها الناس للذهاب إلى العمل في الجزائر؟
Jod-ch-54,Work life,Chinese (China),"How long (in days) is the marriage leave in your country? (Provide Arabic numerals (e.g., 12) only.)",ما هي مدة إجازة الزواج في الجزائر؟ (استعمل الأرقام العربية مثل 12).
Jod-ch-56,Work life,Chinese (China),"What is the typical retirement age for women in your country? (Provide Arabic numerals (e.g., 12) only.)",ما هو سن التقاعد  للنساء في الجزائر؟ (استعمل الأرقام العربية مثل 12).
Jod-ch-57,Work life,Chinese (China),"What is the typical retirement age for men in your country? (Provide Arabic numerals (e.g., 12) only.)",ما هو سن التقاعد النموذجي للرجال في الجزائر؟ (استعمل الأرقام العربية مثل 12).
Jod-ch-58,Work life,Chinese (China),Which profession is the most respected in your country?,أي مهنة هي الأكثر احترامًا في الجزائر؟
Jod-ch-60,Work life,Chinese (China),What is the duration (in hours) of a typical workday in your country? (Provide Arabic numerals (0~24) only.),ما هي مدة يوم العمل النموذجي في الجزائر بالساعات؟ (استعمل الأرقام العربية مثل 0~24).
Jod-ch-61,Work life,Chinese (China),Which occupation is most preferred among females in your country?,أي مهنة تفضلها النساء في الجزائر أكثر؟
Jod-ch-62,Work life,Chinese (China),Which occupation is most preferred among males in your country?,أي مهنة يفضلها الذكور في الجزائر؟
Ki-pe-17,Education,Persian (Iran),"On average, how far do students typically pursue their education in your country? (e.g., elementary, high school)",في المتوسط، إلى أي مستوى يواصل الطلاب تعليمهم في الجزائر عادة؟ (مثلاً، الابتدائية، الثانوية)
Ki-pe-24,Education,Persian (Iran),What language is taught in schools in your country besides English?,أي لغة تُدرَّس في المدارس الجزائرية بالإضافة إلى اللغة الإنجليزية؟
Ki-pe-30,Education,Persian (Iran),What days of the week are schools closed in your country?,أي أيام في الأسبوع تكون المدارس مغلقة في الجزائر؟
Ki-pe-32,Food,Persian (Iran),What food do the hosts usually prepare for the guests in your country?,ما هي الأطعمة التي يعدّها الناس للضيوف في الجزائر؟
Ki-pe-34,Food,Persian (Iran),What is the usual drink in the breakfast in your country?,ما هو المشروب المعتاد في وجبة فطور الصباح في الجزائر؟
Ki-pe-36,Food,Persian (Iran),"Except the food original from your country, which country's food is more popular in your country?",عدا الأكل الأصلي من الجزائر، أي دولة أخرى يعتبر أكلها الأكثر شعبية في الجزائر؟
Ki-pe-39,Food,Persian (Iran),What food is usually prepared for a family picnic in your country?,ما هي الأطعمة التي يتم إعدادها عادة لنزهة عائلية في الجزائر؟
Ki-pe-40,Food,Persian (Iran),Which food from your country is considered disgusting by the rest of the world?,أي طعام من الجزائر يعتبر مقززًا بالنسبة لبقية العالم؟
Ki-pe-43,Food,Persian (Iran),What is the name of the popular bread in your country?,ما هو اسم الخبز الشعبي في الجزائر؟
Ki-pe-51,Work life,Persian (Iran),"What time of day are government offices closed in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",في أي وقت تغلق المكاتب الحكومية في الجزائر؟ (قدم الوقت بتنسيق الساعة:الدقيقة مثل، 18:00، 09:00).
Ki-pe-53,Work life,Persian (Iran),"What is the normal start time of government offices in your country? (Provide in HH:MM format (e.g., 18:00, 09:00).)",ما هو موعد بداية العمل الرسمي في المؤسسات الحكومية في الجزائر؟ (قدم الوقت بتنسيق الساعة والدقائق مثلاً، 18:00، 09:00).
Kik-in-01,Holidays/Celebration/Leisure,Indonesian (Indonesia),What national holiday has the longest duration in your country?,ما هو العيد الوطني الأطول مدة في الجزائر؟
Kik-in-02,Holidays/Celebration/Leisure,Indonesian (Indonesia),What are the common activities people from your country do to celebrate Independence day?,ما هي الأنشطة التي يقوم بها الجزائريون للاحتفال بيوم الاستقلال؟
Kik-in-04,Holidays/Celebration/Leisure,Indonesian (Indonesia),What is installed in front of the house when a family member dies in your country?,ماذا يتم تركيبه أمام المنزل عندما يتوفى أحد أفراد العائلة في الجزائر؟
Kik-in-05,Holidays/Celebration/Leisure,Indonesian (Indonesia),When is a pregnancy celebration or ceremony usually held in your country?,متى يتم عادة الاحتفال بالحمل أو إقامة مراسم لذلك في الجزائر؟
Kik-in-06,Holidays/Celebration/Leisure,Indonesian (Indonesia),What event is usually held before a wedding in your country?,ما هو الحدث الذي يقام عادة قبل الزفاف في الجزائر؟
Kik-in-07,Holidays/Celebration/Leisure,Indonesian (Indonesia),What is usually shared to the children during (Lunar) New Year in your country?,ماذا يتم توزيعه عادة على الأطفال خلال السنة الجديدة القمرية في الجزائر؟
Kik-in-08,Holidays/Celebration/Leisure,Indonesian (Indonesia),What activities are usually done days before Ramadan in your country?,ما هي الأنشطة التي تُمارس عادة في الأيام التي تسبق رمضان في الجزائر؟
Kik-in-10,Holidays/Celebration/Leisure,Indonesian (Indonesia),What is the most popular tourist attraction for foreign visitors in your country?,ما هي أشهر معلم سياحي للزوار الأجانب في الجزائر؟
Kik-in-11,Holidays/Celebration/Leisure,Indonesian (Indonesia),"What is the most popular religious sites (temple, church, etc.) for tourism in your country?",ما هي أشهر المواقع الدينية (معبد، كنيسة، إلخ) للسياحة في الجزائر؟
Kik-in-15,Holidays/Celebration/Leisure,Indonesian (Indonesia),What clothes do women usually wear on graduation commencement ceremony in your country?,ما هي الملابس التي ترتديها النساء عادة في حفل تخرج الجامعات في الجزائر؟
Kik-in-16,Food,Indonesian (Indonesia),What drink is commonly consumed in your country when the weather is cold?,ما هو المشروب الذي يتم استهلاكه بكثرة في الجزائر عندما يكون الطقس باردا؟
Kik-in-17,Food,Indonesian (Indonesia),What fruit is more commonly sold and found during Ramadan in your country?,أي نوع من الفواكه يُباع ويُوجد بكثرة خلال شهر رمضان في الجزائر؟
Kik-in-24,Food,Indonesian (Indonesia),What carbohydrate is usually served with chicken in a fast-food restaurant in your country?,أي نوع من الكربوهيدرات يقدم عادة مع الدجاج في مطعم الوجبات السريعة في الجزائر؟
Kik-in-31,Sport,Indonesian (Indonesia),What is the most famous martial art sports in your country?,ما هي أشهر رياضة فنون قتالية في الجزائر؟
Kik-in-34,Sport,Indonesian (Indonesia),What sports are often broadcasted on national television in your country?,ما هي الرياضات التي غالبا ما تُبث على التلفزيون الوطني في الجزائر؟
Kik-in-35,Sport,Indonesian (Indonesia),What sports were popular among people from your country during the COVID-19 pandemic?,ما هي الرياضات التي كانت شائعة بين الناس في الجزائر خلال جائحة كوفيد-19؟
Kik-in-36,Sport,Indonesian (Indonesia),Who is the most popular soccer coach in your country?,من هو أشهر مدرب كرة قدم في الجزائر؟
